Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4,Partition 5
1,766,157,46,12,3.0,
2,746,153,34,8,2.0,
3,754,159,38,9,3.0,
4,755,147,36,10,4.0,
5,737,152,37,11,3.0,
6,752,157,39,8,2.0,
7,749,163,36,9,3.0,
8,741,152,38,12,2.0,
9,744,157,42,11,3.0,
10,749,157,36,10,3.0,
11,740,152,37,10,3.0,
12,750,158,40,10,2.0,
13,749,154,41,13,4.0,2.0
14,748,149,39,10,3.0,
15,752,165,44,13,4.0,
16,755,162,39,10,2.0,
17,758,160,36,10,3.0,
18,745,150,40,8,2.0,
19,749,153,37,8,2.0,
20,744,157,42,9,2.0,
21,745,153,35,8,2.0,
22,740,158,38,11,3.0,
23,741,151,41,9,3.0,
24,736,151,36,9,2.0,
25,745,160,36,8,3.0,
26,744,154,36,8,,
27,740,151,41,11,3.0,
28,739,155,41,8,2.0,
29,741,154,37,12,3.0,
30,735,160,42,10,3.0,
31,743,150,42,10,2.0,
32,737,154,44,12,2.0,
33,749,159,41,13,3.0,
34,738,149,38,10,3.0,
35,740,157,38,11,3.0,
36,741,159,41,11,4.0,
37,736,154,40,9,,
38,733,165,44,13,4.0,
39,733,153,38,12,3.0,
40,743,151,43,9,2.0,
41,739,157,42,13,2.0,
42,746,163,42,10,3.0,
43,742,153,39,9,3.0,
44,737,152,41,10,3.0,
45,737,159,39,8,2.0,
46,739,150,40,9,3.0,
47,744,160,45,11,4.0,
48,739,162,40,11,3.0,
49,742,158,36,9,2.0,
50,744,153,38,12,2.0,
