Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,199,41,10,5,4.0
2,206,46,13,4,2.0
3,206,49,13,4,
4,206,43,12,4,
5,204,44,15,4,2.0
6,200,39,12,3,
7,197,39,11,4,2.0
8,204,44,14,4,2.0
9,202,41,11,3,
10,207,44,13,3,
11,210,43,14,4,
12,206,45,13,5,3.0
13,211,47,12,3,2.0
14,209,49,12,4,2.0
15,208,42,12,3,2.0
16,201,41,12,3,
17,204,42,11,4,
18,197,49,14,4,
19,198,40,12,3,
20,201,40,13,3,
21,203,36,12,3,
22,203,40,12,3,
23,194,38,12,3,
24,195,38,12,3,
25,196,38,12,2,
26,198,39,12,3,
27,191,38,12,3,
28,194,39,11,3,
29,192,34,9,2,
30,191,36,11,3,
31,194,42,12,3,
32,196,38,11,3,
33,197,35,10,2,
34,197,45,12,3,
35,194,43,11,3,
36,195,44,11,3,
37,200,44,11,3,
38,197,40,11,3,
39,197,37,10,3,
40,194,36,11,2,
41,191,37,11,3,
42,190,38,12,3,
43,189,44,13,4,2.0
44,190,44,11,3,
45,189,46,11,3,
46,193,40,13,4,
47,189,40,12,3,
48,193,41,11,3,
49,193,42,11,3,
50,192,42,11,3,
