Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,638,136,35,6,2.0
2,642,141,37,9,2.0
3,657,138,35,7,2.0
4,642,142,34,6,
5,667,145,34,7,2.0
6,639,143,39,7,
7,651,132,35,7,2.0
8,641,138,33,6,2.0
9,646,139,33,6,
10,640,136,30,7,3.0
11,639,140,33,8,3.0
12,637,135,37,10,2.0
13,636,130,33,8,2.0
14,637,134,33,7,2.0
15,639,137,38,8,2.0
16,639,131,32,5,2.0
17,633,136,35,9,2.0
18,637,134,32,8,2.0
19,634,130,31,6,2.0
20,643,137,36,7,2.0
21,637,135,36,7,2.0
22,636,134,38,7,2.0
23,636,129,35,7,2.0
24,635,136,35,9,3.0
25,639,128,33,5,2.0
26,636,139,34,10,3.0
27,634,125,37,7,2.0
28,632,134,37,9,3.0
29,639,133,32,10,
30,641,138,37,9,3.0
31,634,129,32,8,2.0
32,638,139,36,5,
33,642,137,32,9,3.0
34,639,135,33,8,3.0
35,639,132,32,6,2.0
36,636,130,32,6,
37,642,135,33,8,3.0
38,640,134,34,7,2.0
39,638,128,32,6,2.0
40,640,129,34,6,2.0
41,634,133,35,8,2.0
42,647,140,36,9,2.0
43,638,135,34,7,2.0
44,638,125,36,10,2.0
45,637,135,32,9,3.0
46,637,140,31,8,2.0
47,638,123,30,7,3.0
48,634,133,34,8,2.0
49,639,131,33,8,3.0
50,640,134,32,8,2.0
