Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4,Partition 5
1,219,46,12,5,,
2,225,48,14,4,,
3,227,54,13,6,3.0,2.0
4,224,49,11,3,,
5,222,50,10,4,,
6,218,51,13,4,,
7,218,49,13,3,,
8,219,50,13,3,,
9,210,48,14,4,,
10,215,49,15,6,3.0,
11,218,49,13,4,,
12,220,53,15,4,,
13,225,49,14,5,,
14,225,49,15,4,,
15,223,51,15,6,3.0,
16,220,49,13,4,,
17,228,51,16,5,3.0,
18,226,51,14,4,,
19,223,48,16,6,2.0,
20,223,48,14,4,,
21,223,50,14,4,,
22,227,51,13,5,,
23,224,50,14,4,,
24,225,54,13,3,,
25,224,54,14,3,,
26,226,53,14,4,,
27,226,52,14,4,,
28,226,52,14,4,,
29,226,52,14,4,,
30,226,52,14,4,,
31,226,52,14,4,,
32,226,52,14,4,,
33,226,52,14,4,,
34,226,52,14,4,,
35,226,52,14,4,,
36,226,52,14,4,,
37,226,52,14,4,,
38,226,52,14,4,,
39,226,52,14,4,,
40,226,52,14,4,,
41,226,52,14,4,,
42,226,52,14,4,,
43,226,52,14,4,,
44,226,52,14,4,,
45,226,52,14,4,,
46,226,53,14,4,,
47,226,53,14,4,,
48,226,53,14,4,,
49,226,53,14,4,,
50,226,53,14,4,,
